Country/Region,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
Uruguay,364859.00,0.00,5474.00,0.00,340352.00,0.00,19033.00,345.00,104677.00,1570.00,2756703.00,790887.00,3485586.00
United States,34490134.00,0.00,619343.00,0.00,28912906.00,0.00,4957885.00,3833.00,103601.00,1860.00,503457674.00,1512279.00,332913170.00
Uzbekistan,109223.00,493.00,729.00,2.00,105006.00,545.00,3488.00,23.00,3218.00,21.00,1377915.00,40592.00,33945597.00
Vanuatu,4.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,13.00,3.00,23000.00,73207.00,314176.00
Vatican City,27.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,33624.00,0.00,0.00,0.00,803.00
Venezuela,268349.00,0.00,3055.00,0.00,249039.00,0.00,16255.00,331.00,9463.00,108.00,3359014.00,118457.00,28356485.00
Vietnam,15401.00,126.00,75.00,1.00,6137.00,0.00,9189.00,0.00,157.00,0.80,8434266.00,85889.00,98199986.00
Western Sahara,10.00,0.00,1.00,0.00,8.00,0.00,1.00,0.00,16.00,2.00,0.00,0.00,611722.00
Yemen,6906.00,0.00,1358.00,0.00,4019.00,0.00,1529.00,23.00,227.00,45.00,104360.00,3425.00,30469755.00
Zambia,146031.00,0.00,1967.00,0.00,121965.00,0.00,22099.00,1270.00,7732.00,104.00,1836418.00,97228.00,18887667.00
Zimbabwe,46018.00,0.00,1725.00,0.00,37761.00,0.00,6532.00,10.00,3053.00,114.00,642716.00,42633.00,15075417.00
